"p1"	"p2"	"rg"	"se"	"z"	"p"	"h2_obs"	"h2_obs_se"	"h2_int"	"h2_int_se"	"gcov_int"	"gcov_int_se"	"stars"
"TrunkWidths"	"LimbHeights"	0.6914	0.0153	45.0749	0	1.1551	0.0655	0.9386	0.0208	-0.1826	0.0197	"***"
"TrunkWidths"	"Cortical"	0.1908	0.0291	6.5554	5.5486e-11	1.131	0.0827	0.981	0.0124	0.0432	0.009	"***"
"TrunkWidths"	"Average_Femur"	0.6783	0.0185	36.702	6.791e-295	0.4648	0.0282	1.0403	0.0129	-0.067	0.0153	"***"
"TrunkWidths"	"Average_Forearm"	0.652	0.0207	31.4295	8.003e-217	0.4337	0.0297	1.0337	0.0139	-0.0486	0.0154	"***"
"TrunkWidths"	"Average_Humerus"	0.597	0.0238	25.0951	5.6308e-139	0.4462	0.0293	1.0318	0.0128	-0.0803	0.014	"***"
"TrunkWidths"	"Average_Tibia"	0.6791	0.0198	34.3753	5.8977e-259	0.4602	0.0289	1.052	0.0132	-0.0885	0.0148	"***"
"TrunkWidths"	"FI"	0.1515	0.0292	5.1794	2.2255e-07	0.3728	0.0255	1.0123	0.0118	0.0403	0.0086	"***"
"TrunkWidths"	"IC"	0.1856	0.0278	6.6784	2.4149e-11	0.3158	0.0217	1.015	0.0105	0.0344	0.0079	"***"
"TrunkWidths"	"SA"	0.2088	0.0302	6.924	4.3914e-12	0.4023	0.032	1.0165	0.0137	0.0466	0.01	"***"
"TrunkWidths"	"Hip_width"	0.8142	0.0141	57.7331	0	0.3855	0.031	1.0297	0.0137	0.5159	0.017	"***"
"TrunkWidths"	"Shoulder_Width"	0.697	0.0189	36.8505	2.8721e-297	0.3358	0.0231	1.016	0.0102	0.4316	0.0136	"***"
"TrunkWidths"	"Torso_Length"	0.894	0.0105	85.2578	0	0.3771	0.0257	1.0159	0.0116	0.5568	0.0163	"***"
"TrunkWidths"	"Height"	0.8969	0.006	148.8068	0	0.6591	0.0342	1.5058	0.1173	0.6352	0.0525	"***"
"LimbHeights"	"Cortical"	0.1902	0.0298	6.3876	1.6851e-10	1.131	0.0827	0.981	0.0124	0.0933	0.0084	"***"
"LimbHeights"	"Average_Femur"	0.9613	0.0031	314.8467	0	0.4648	0.0282	1.0403	0.0129	0.892	0.0155	"***"
"LimbHeights"	"Average_Forearm"	0.9126	0.0077	118.5951	0	0.4337	0.0297	1.0337	0.0139	0.8405	0.0155	"***"
"LimbHeights"	"Average_Humerus"	0.8964	0.009	99.9313	0	0.4462	0.0293	1.0318	0.0128	0.8295	0.0146	"***"
"LimbHeights"	"Average_Tibia"	0.9622	0.0033	287.5988	0	0.4602	0.0289	1.052	0.0132	0.9009	0.0157	"***"
"LimbHeights"	"FI"	0.1561	0.0298	5.2374	1.6286e-07	0.3728	0.0255	1.0123	0.0118	0.0782	0.0082	"***"
"LimbHeights"	"IC"	0.1971	0.0299	6.5848	4.5554e-11	0.3158	0.0217	1.015	0.0105	0.0702	0.0075	"***"
"LimbHeights"	"SA"	0.1937	0.0296	6.552	5.6777e-11	0.4023	0.032	1.0165	0.0137	0.1127	0.009	"***"
"LimbHeights"	"Hip_width"	0.5529	0.0213	25.9301	3.046e-148	0.3855	0.031	1.0297	0.0137	0.3057	0.0113	"***"
"LimbHeights"	"Shoulder_Width"	0.472	0.0258	18.2976	8.6546e-75	0.3358	0.0231	1.016	0.0102	0.2751	0.0091	"***"
"LimbHeights"	"Torso_Length"	0.5278	0.0197	26.8226	1.7608e-158	0.3771	0.0257	1.0159	0.0116	0.2289	0.0104	"***"
"LimbHeights"	"Height"	0.9193	0.0071	129.8264	0	0.6591	0.0342	1.5058	0.1173	0.4883	0.0449	"***"
"Cortical"	"Average_Femur"	0.1982	0.0339	5.8454	5.0545e-09	0.4648	0.0282	1.0403	0.0129	0.1125	0.0074	"***"
"Cortical"	"Average_Forearm"	0.1901	0.0355	5.3545	8.5816e-08	0.4337	0.0297	1.0337	0.0139	0.1088	0.007	"***"
"Cortical"	"Average_Humerus"	0.1471	0.0348	4.2276	2.3623e-05	0.4462	0.0293	1.0318	0.0128	0.0826	0.0072	"***"
"Cortical"	"Average_Tibia"	0.1952	0.0343	5.6867	1.2954e-08	0.4602	0.0289	1.052	0.0132	0.1119	0.0074	"***"
"Cortical"	"FI"	0.9659	0.0026	374.3648	0	0.3728	0.0255	1.0123	0.0118	0.9354	0.0117	"***"
"Cortical"	"IC"	0.9618	0.0038	252.7872	0	0.3158	0.0217	1.015	0.0105	0.9042	0.0109	"***"
"Cortical"	"SA"	0.9439	0.0044	213.0992	0	0.4023	0.032	1.0165	0.0137	0.9157	0.0126	"***"
"Cortical"	"Hip_width"	0.1806	0.0338	5.3489	8.8482e-08	0.3855	0.031	1.0297	0.0137	0.0739	0.0069	"***"
"Cortical"	"Shoulder_Width"	0.1774	0.0408	4.3456	1.3889e-05	0.3358	0.0231	1.016	0.0102	0.0927	0.0066	"***"
"Cortical"	"Torso_Length"	0.1452	0.0353	4.1101	3.9548e-05	0.3771	0.0257	1.0159	0.0116	0.0791	0.0062	"***"
"Cortical"	"Height"	0.1929	0.0252	7.6539	1.9502e-14	0.6591	0.0342	1.5058	0.1173	0.0669	0.0174	"***"
